Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""BRSK1""","""BRSK1""","""BRSK1""","""BRSK1""","""BR serine/threonine kinase 1""","""BRSK1""","""BR serine/threonine kinase 1""",,"""brain selective kinase 1""","""KIAA1811"", ""SAD-B""","""Serine/threonine-protein kinase BRSK1""","""Brain-selective kinase 1"", ""Brain-specific serine/threonine-protein kinase 1"", ""Serine/threonine-protein kinase SAD-B"", ""Synapses of Amphids Defective homolog 1""","""BRSK1""","""KIAA1811"", ""SAD1"", ""SADB""","""BR serine/threonine kinase 1""","""SAD-B"", ""hSAD1"""
"""CHK1""","""CHK1""","""CHEK1""","""CHEK1""","""CHK1 checkpoint homolog (S. pombe)""","""CHEK1""","""checkpoint kinase 1""","""CHK1 (checkpoint, S.pombe) homolog"", ""CHK1 checkpoint homolog (S. pombe)""",,"""CHK1""","""Serine/threonine-protein kinase Chk1""","""CHK1 checkpoint homolog"", ""Cell cycle checkpoint kinase"", ""Checkpoint kinase-1""","""CHEK1""","""CHK1""","""checkpoint kinase 1""","""CHK1"", ""OZEMA21"""
"""HUNK""","""HUNK""","""HUNK""","""HUNK""","""hormonally upregulated Neu-associated kinase""","""HUNK""","""hormonally up-regulated Neu-associated kinase""","""hormonally upregulated Neu-associated kinase""",,,"""Hormonally up-regulated neu tumor-associated kinase""","""B19"", ""Serine/threonine-protein kinase MAK-V""","""HUNK""","""MAKV""","""hormonally up-regulated Neu-associated kinase""",
"""LKB1""","""LKB1""","""STK11""","""STK11""","""serine/threonine kinase 11""","""STK11""","""serine/threonine kinase 11""","""serine/threonine kinase 11 (Peutz-Jeghers syndrome)""","""polarization-related protein LKB1""","""PJS"", ""LKB1""","""Serine/threonine-protein kinase STK11""","""Liver kinase B1"", ""Renal carcinoma antigen NY-REN-19""","""STK11""","""LKB1"", ""PJS""","""serine/threonine kinase 11""","""LKB1"", ""PJS"", ""hLKB1"""
"""MARK2""","""MARK2""","""MARK2""","""MARK2""","""MAP/microtubule affinity-regulating kinase 2""","""MARK2""","""microtubule affinity regulating kinase 2""","""ELKL motif kinase"", ""MAP/microtubule affinity-regulating kinase 2""","""ELKL motif kinase 1"", ""serine/threonine kinase"", ""protein-serine/threonine kinase"", ""Ser/Thr protein kinase PAR-1B""","""PAR-1"", ""Par1b"", ""PAR-1B""","""Serine/threonine-protein kinase MARK2""","""ELKL motif kinase 1"", ""MAP/microtubule affinity-regulating kinase 2"", ""PAR1 homolog"", ""PAR1 homolog b""","""MARK2""","""EMK1""","""microtubule affinity regulating kinase 2""","""EMK-1"", ""EMK1"", ""PAR-1"", ""Par-1b"", ""Par1b"""
"""MARK1""","""MARK1""","""MARK1""","""MARK1""","""MAP/microtubule affinity-regulating kinase 1""","""MARK1""","""microtubule affinity regulating kinase 1""","""MAP/microtubule affinity-regulating kinase 1""",,"""MARK"", ""PAR-1C""","""Serine/threonine-protein kinase MARK1""","""MAP/microtubule affinity-regulating kinase 1"", ""PAR1 homolog c""","""MARK1""","""KIAA1477"", ""MARK""","""microtubule affinity regulating kinase 1""","""MARK"", ""Par-1c"", ""Par1c"""
"""MARK3""","""MARK3""","""MARK3""","""MARK3""","""MAP/microtubule affinity-regulating kinase 3""","""MARK3""","""microtubule affinity regulating kinase 3""","""MAP/microtubule affinity-regulating kinase 3""",,"""CTAK1"", ""KP78"", ""PAR-1A""","""MAP/microtubule affinity-regulating kinase 3""","""C-TAK1"", ""Cdc25C-associated protein kinase 1"", ""ELKL motif kinase 2"", ""Protein kinase STK10"", ""Ser/Thr protein kinase PAR-1"", ""Serine/threonine-protein kinase p78""","""MARK3""","""CTAK1"", ""EMK2""","""microtubule affinity regulating kinase 3""","""CTAK1"", ""KP78"", ""PAR1A"", ""Par-1a"", ""VIPB"""
"""MARK4""","""MARK4""","""MARK4""","""MARK4""","""MAP/microtubule affinity-regulating kinase 4""","""MARK4""","""microtubule affinity regulating kinase 4""","""MAP/microtubule affinity-regulating kinase like 1"", ""MAP/microtubule affinity-regulating kinase 4""",,"""Nbla00650"", ""FLJ90097"", ""KIAA1860"", ""PAR-1D""","""MAP/microtubule affinity-regulating kinase 4""","""MAP/microtubule affinity-regulating kinase-like 1""","""MARK4""","""KIAA1860"", ""MARKL1""","""microtubule affinity regulating kinase 4""","""MARK4L"", ""MARK4S"", ""MARKL1"", ""MARKL1L"", ""PAR-1D"""
"""MELK""","""MELK""","""MELK""","""MELK""","""maternal embryonic leucine zipper kinase""","""MELK""","""maternal embryonic leucine zipper kinase""",,,"""KIAA0175""","""Maternal embryonic leucine zipper kinase""","""Protein kinase Eg3"", ""Protein kinase PK38"", ""Tyrosine-protein kinase MELK""","""MELK""","""KIAA0175""","""maternal embryonic leucine zipper kinase""","""HPK38"""
"""NIM1""","""NIM1""","""MGC42105""","""-""","""-""","""MGC42105""",,,,,,,,,,
"""NuaK1""","""NuaK1""","""NUAK1""","""NUAK1""","""NUAK family, SNF1-like kinase, 1""","""NUAK1""","""NUAK family kinase 1""","""NUAK family, SNF1-like kinase, 1""","""AMP-activated protein kinase family member 5""","""ARK5"", ""KIAA0537""","""NUAK family SNF1-like kinase 1""","""AMPK-related protein kinase 5"", ""Omphalocele kinase 1""","""NUAK1""","""ARK5"", ""KIAA0537"", ""OMPHK1""","""NUAK family kinase 1""","""ARK5"""
"""NuaK2""","""NuaK2""","""NUAK2""","""NUAK2""","""NUAK family, SNF1-like kinase, 2""","""NUAK2""","""NUAK family kinase 2""","""NUAK family, SNF1-like kinase, 2""","""SNF1/AMP activated protein kinase""","""SNARK"", ""FLJ90349""","""NUAK family SNF1-like kinase 2""","""Omphalocele kinase 2"", ""SNF1/AMP kinase-related kinase""","""NUAK2""","""OMPHK2"", ""SNARK""","""NUAK family kinase 2""","""ANPH2"", ""SNARK"""
"""PASK""","""PASK""","""PASK""","""PASK""","""PAS domain containing serine/threonine kinase""","""PASK""","""PAS domain containing serine/threonine kinase""",,,"""PASKIN"", ""KIAA0135"", ""STK37""","""PAS domain-containing serine/threonine-protein kinase""",,"""PASK""","""KIAA0135""","""PAS domain containing serine/threonine kinase""","""PASKIN"", ""STK37"""
"""QIK""","""QIK""","""SNF1LK2""","""SNF1LK2""","""SNF1-like kinase 2""","""SNF1LK2""",,,,,"""Serine/threonine-protein kinase SIK2""","""Qin-induced kinase"", ""Salt-inducible kinase 2"", ""Serine/threonine-protein kinase SNF1-like kinase 2""","""SIK2""","""KIAA0781"", ""QIK"", ""SNF1LK2""",,
"""QSK""","""QSK""","""KIAA0999""","""-""","""-""","""KIAA0999""",,,,,"""Serine/threonine-protein kinase SIK3""","""Salt-inducible kinase 3"", ""Serine/threonine-protein kinase QSK""","""SIK3""","""KIAA0999"", ""QSK""",,
"""SIK""","""SIK""","""SNF1LK""","""SNF1LK""","""SNF1-like kinase""","""SNF1LK""",,,,,"""Serine/threonine-protein kinase SIK1""","""Salt-inducible kinase 1"", ""Serine/threonine-protein kinase SNF1-like kinase 1""","""SIK1""","""SIK"", ""SNF1LK""","""SNF1-like kinase""","""MSK"""
"""SNRK""","""SNRK""","""SNRK""","""SNRK""","""SNF related kinase""","""SNRK""","""SNF related kinase""",,,"""FLJ20224"", ""HSNFRK"", ""KIAA0096""","""SNF-related serine/threonine-protein kinase""","""SNF1-related kinase""","""SNRK""","""KIAA0096"", ""SNFRK""","""SNF related kinase""","""HSNFRK"""
"""STK33""","""STK33""","""STK33""","""STK33""","""serine/threonine kinase 33""","""STK33""","""serine/threonine kinase 33""",,,,"""Serine/threonine-protein kinase 33""",,"""STK33""",,"""serine/threonine kinase 33""","""SPGF93"""
"""VACAMKL""","""VACAMKL""","""CAMKV""","""CAMKV""","""CaM kinase-like vesicle-associated""","""CAMKV""","""CaM kinase like vesicle associated""","""CaM kinase-like vesicle-associated""",,"""MGC8407"", ""VACAMKL""","""CaM kinase-like vesicle-associated protein""",,"""CAMKV""",,"""CaM kinase like vesicle associated""","""1G5"", ""VACAMKL"""
"""CASK""","""CASK""","""CASK""","""CASK""","""calcium/calmodulin-dependent serine protein kinase (MAGUK family)""","""CASK""","""calcium/calmodulin dependent serine protein kinase""","""trinucleotide repeat containing 8"", ""calcium/calmodulin-dependent serine protein kinase (MAGUK family)""",,"""LIN2"", ""CAGH39"", ""FGS4""","""Peripheral plasma membrane protein CASK""","""Calcium/calmodulin-dependent serine protein kinase"", ""Protein lin-2 homolog""","""CASK""","""LIN2""","""calcium/calmodulin dependent serine protein kinase""","""CAGH39"", ""CAMGUK"", ""CMG"", ""FGS4"", ""LIN2"", ""MICPCH"", ""MRXSNA"", ""TNRC8"", ""hCASK"""
"""DAPK1""","""DAPK1""","""DAPK1""","""DAPK1""","""death-associated protein kinase 1""","""DAPK1""","""death associated protein kinase 1""","""death-associated protein kinase 1""",,"""DAPK""","""Death-associated protein kinase 1""",,"""DAPK1""","""DAPK""","""death associated protein kinase 1""","""DAPK"", ""ROCO3"""
"""DAPK3""","""DAPK3""","""DAPK3""","""DAPK3""","""death-associated protein kinase 3""","""DAPK3""","""death associated protein kinase 3""",,,"""ZIP"", ""ZIPK""","""Death-associated protein kinase 3""","""DAP-like kinase"", ""MYPT1 kinase"", ""Zipper-interacting protein kinase""","""DAPK3""","""ZIPK""","""death associated protein kinase 3""","""DLK"", ""ZIP"", ""ZIPK"""
"""DAPK2""","""DAPK2""","""DAPK2""","""DAPK2""","""death-associated protein kinase 2""","""DAPK2""","""death associated protein kinase 2""",,,"""DRP-1"", ""MGC119312""","""Death-associated protein kinase 2""","""DAP-kinase-related protein 1""","""DAPK2""",,"""death associated protein kinase 2""","""DRP-1"", ""DRP1"""
"""DRAK2""","""DRAK2""","""STK17B""","""STK17B""","""serine/threonine kinase 17b (apoptosis-inducing)""","""STK17B""","""serine/threonine kinase 17b""","""serine/threonine kinase 17b (apoptosis-inducing)""","""death-associated protein kinase-related 2""","""DRAK2""","""Serine/threonine-protein kinase 17B""","""DAP kinase-related apoptosis-inducing protein kinase 2""","""STK17B""","""DRAK2""","""serine/threonine kinase 17b""","""DRAK2"""
"""DRAK1""","""DRAK1""","""STK17A""","""STK17A""","""serine/threonine kinase 17a (apoptosis-inducing)""","""STK17A""","""serine/threonine kinase 17a""","""serine/threonine kinase 17a (apoptosis-inducing)""","""death-associated protein kinase-related 1""","""DRAK1""","""Serine/threonine-protein kinase 17A""","""DAP kinase-related apoptosis-inducing protein kinase 1""","""STK17A""","""DRAK1""","""serine/threonine kinase 17a""","""DRAK1"""
"""DCLK1""","""DCLK1""","""DCAMKL1""","""DCAMKL1""","""doublecortin and CaM kinase-like 1""","""DCAMKL1""",,,,,"""Serine/threonine-protein kinase DCLK1""","""Doublecortin domain-containing protein 3A"", ""Doublecortin-like and CAM kinase-like 1"", ""Doublecortin-like kinase 1""","""DCLK1""","""DCAMKL1"", ""DCDC3A"", ""KIAA0369""",,
"""DCLK3""","""DCLK3""","""DCAMKL3""","""DCAMKL3""","""doublecortin and CaM kinase-like 3""","""DCAMKL3""",,,,,"""Serine/threonine-protein kinase DCLK3""","""Doublecortin domain-containing protein 3C"", ""Doublecortin-like and CAM kinase-like 3"", ""Doublecortin-like kinase 3""","""DCLK3""","""DCAMKL3"", ""DCDC3C"", ""KIAA1765""",,
"""DCLK2""","""DCLK2""","""DCAMKL2""","""DCAMKL2""","""doublecortin and CaM kinase-like 2""","""DCAMKL2""",,,,,"""Serine/threonine-protein kinase DCLK2""","""CaMK-like CREB regulatory kinase 2"", ""Doublecortin domain-containing protein 3B"", ""Doublecortin-like and CAM kinase-like 2"", ""Doublecortin-like kinase 2""","""DCLK2""","""DCAMKL2"", ""DCDC3B"", ""DCK2""",,
"""MAPKAPK3""","""MAPKAPK3""","""MAPKAPK3""","""MAPKAPK3""","""mitogen-activated protein kinase-activated protein kinase 3""","""MAPKAPK3""","""MAPK activated protein kinase 3""","""mitogen-activated protein kinase-activated protein kinase 3""",,"""3pK"", ""MAPKAP3"", ""3PK"", ""MK-3"", ""MK3""","""MAP kinase-activated protein kinase 3""","""Chromosome 3p kinase""","""MAPKAPK3""",,"""MAPK activated protein kinase 3""","""3PK"", ""MAPKAP-K3"", ""MAPKAP3"", ""MAPKAPK-3"", ""MDPT3"", ""MK-3"", ""MK3"""
"""MAPKAPK5""","""MAPKAPK5""","""MAPKAPK5""","""MAPKAPK5""","""mitogen-activated protein kinase-activated protein kinase 5""","""MAPKAPK5""","""MAPK activated protein kinase 5""","""mitogen-activated protein kinase-activated protein kinase 5""",,"""PRAK"", ""MK5""","""MAP kinase-activated protein kinase 5""","""p38-regulated/activated protein kinase""","""MAPKAPK5""","""PRAK""","""MAPK activated protein kinase 5""","""MAPKAP-K5"", ""MK-5"", ""MK5"", ""NCFD"", ""PRAK"""
"""MAPKAPK2""","""MAPKAPK2""","""MAPKAPK2""","""MAPKAPK2""","""mitogen-activated protein kinase-activated protein kinase 2""","""MAPKAPK2""","""MAPK activated protein kinase 2""","""mitogen-activated protein kinase-activated protein kinase 2""",,"""MK2""","""MAP kinase-activated protein kinase 2""",,"""MAPKAPK2""",,"""MAPK activated protein kinase 2""","""MAPKAP-K2"", ""MK-2"", ""MK2"""
"""MNK2""","""MNK2""","""MKNK2""","""MKNK2""","""MAP kinase interacting serine/threonine kinase 2""","""MKNK2""","""MAPK interacting serine/threonine kinase 2""","""G protein-coupled receptor kinase 7"", ""MAP kinase interacting serine/threonine kinase 2""","""Putative map kinase interacting kinase""","""MNK2""","""MAP kinase-interacting serine/threonine-protein kinase 2""","""MAP kinase signal-integrating kinase 2""","""MKNK2""","""GPRK7"", ""MNK2""","""MAPK interacting serine/threonine kinase 2""","""GPRK7"", ""MNK2"""
"""MNK1""","""MNK1""","""MKNK1""","""MKNK1""","""MAP kinase interacting serine/threonine kinase 1""","""MKNK1""","""MAPK interacting serine/threonine kinase 1""","""MAP kinase interacting serine/threonine kinase 1""",,"""MNK1""","""MAP kinase-interacting serine/threonine-protein kinase 1""","""MAP kinase signal-integrating kinase 1""","""MKNK1""","""MNK1""","""MAPK interacting serine/threonine kinase 1""","""MNK1"""
"""smMLCK""","""smMLCK""","""MYLK""","""MYLK""","""myosin, light chain kinase""","""MYLK""","""myosin light chain kinase""","""myosin, light polypeptide kinase""","""smooth muscle myosin light chain kinase"", ""kinase related protein""","""MLCK"", ""smMLCK"", ""MYLK1"", ""MLCK1"", ""KRP"", ""Telokin"", ""MLCK108"", ""MLCK210"", ""MYLK-L""","""Myosin light chain kinase, smooth muscle""","""Kinase-related protein"", ""Telokin""","""MYLK""","""MLCK"", ""MLCK1"", ""MYLK1""","""myosin light chain kinase""","""AAT7"", ""KRP"", ""MLCK"", ""MLCK1"", ""MLCK108"", ""MLCK210"", ""MMIHS"", ""MMIHS1"", ""MSTP083"", ""MYLK-L"", ""MYLK1"", ""smMLCK"""
"""TTN""","""TTN""","""TTN""","""TTN""","""titin""","""TTN""","""titin""","""cardiomyopathy, dilated 1G (autosomal dominant)""",,"""CMPD4"", ""FLJ32040"", ""TMD"", ""CMH9"", ""LGMD2J"", ""MYLK5""","""Titin""","""Connectin"", ""Rhabdomyosarcoma antigen MU-RMS-40.14""","""TTN""",,"""titin""","""CMD1G"", ""CMH9"", ""CMPD4"", ""CMYO5"", ""CMYP5"", ""EOMFC"", ""HMERF"", ""LGMD2J"", ""LGMDR10"", ""MYLK5"", ""SALMY"", ""TMD"""
"""skMLCK""","""skMLCK""","""MYLK2""","""MYLK2""","""myosin light chain kinase 2, skeletal muscle""","""MYLK2""","""myosin light chain kinase 2""","""myosin light chain kinase 2, skeletal muscle""","""skeletal muscle myosin light chain kinase""","""skMLCK"", ""KMLC"", ""MLCK2""","""Myosin light chain kinase 2, skeletal/cardiac muscle""",,"""MYLK2""",,"""myosin light chain kinase 2""","""KMLC"", ""MLCK"", ""MLCK2"", ""skMLCK"""
"""caMLCK""","""caMLCK""","""MLCK""","""-""","""-""","""MLCK""",,,,,"""Myosin light chain kinase 3""","""Cardiac-MyBP-C-associated Ca/CaM kinase""","""MYLK3""","""MLCK""",,
"""SgK085""","""SgK085""","""RP11-145H9.1""","""-""","""-""","""RP11-145H9.1""",,,,,,,,,,
"""PHKg1""","""PHKg1""","""PHKG1""","""PHKG1""","""phosphorylase kinase, gamma 1 (muscle)""","""PHKG1""","""phosphorylase kinase catalytic subunit gamma 1""","""phosphorylase kinase, gamma 1 (muscle)""",,,"""Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform""","""Phosphorylase kinase subunit gamma-1"", ""Serine/threonine-protein kinase PHKG1""","""PHKG1""","""PHKG""","""phosphorylase kinase catalytic subunit gamma 1""","""PHKG"""
"""PHKg2""","""PHKg2""","""PHKG2""","""PHKG2""","""phosphorylase kinase, gamma 2 (testis)""","""PHKG2""","""phosphorylase kinase catalytic subunit gamma 2""","""phosphorylase kinase, gamma 2 (testis)""",,,"""Phosphorylase b kinase gamma catalytic chain, liver/testis isoform""","""PSK-C3"", ""Phosphorylase kinase subunit gamma-2""","""PHKG2""",,"""phosphorylase kinase catalytic subunit gamma 2""","""GSD9C"""
"""PIM1""","""PIM1""","""PIM1""","""PIM1""","""pim-1 oncogene""","""PIM1""","""Pim-1 proto-oncogene, serine/threonine kinase""","""pim-1 oncogene""",,,"""Serine/threonine-protein kinase pim-1""",,"""PIM1""",,"""Pim-1 proto-oncogene, serine/threonine kinase""","""PIM"""
"""PIM2""","""PIM2""","""PIM2""","""PIM2""","""pim-2 oncogene""","""PIM2""","""Pim-2 proto-oncogene, serine/threonine kinase""","""pim-2 oncogene""",,,"""Serine/threonine-protein kinase pim-2""","""Pim-2h""","""PIM2""",,"""Pim-2 proto-oncogene, serine/threonine kinase""",
"""PIM3""","""PIM3""","""PIM3""","""PIM3""","""pim-3 oncogene""","""PIM3""","""Pim-3 proto-oncogene, serine/threonine kinase""","""pim-3 oncogene""",,,"""Serine/threonine-protein kinase pim-3""",,"""PIM3""",,"""Pim-3 proto-oncogene, serine/threonine kinase""","""pim-3"""
"""PKD1""","""PKD1""","""PRKD1""","""PRKD1""","""protein kinase D1""","""PRKD1""","""protein kinase D1""","""protein kinase C, mu""",,"""PKCM"", ""PKD"", ""PKC-mu""","""Serine/threonine-protein kinase D1""","""Protein kinase C mu type"", ""Protein kinase D"", ""nPKC-D1"", ""nPKC-mu""","""PRKD1""","""PKD"", ""PKD1"", ""PRKCM""","""protein kinase D1""","""CHDED"", ""PKC-MU"", ""PKCM"", ""PKD"", ""PRKCM"""
"""PKD3""","""PKD3""","""PRKD3""","""PRKD3""","""protein kinase D3""","""PRKD3""","""protein kinase D3""","""protein kinase C, nu""",,"""EPK2""","""Serine/threonine-protein kinase D3""","""Protein kinase C nu type"", ""Protein kinase EPK2"", ""nPKC-nu""","""PRKD3""","""EPK2"", ""PRKCN""","""protein kinase D3""","""EPK2"", ""PKC-NU"", ""PKD3"", ""PRKCN"", ""nPKC-NU"""
"""PKD2""","""PKD2""","""PRKD2""","""PRKD2""","""protein kinase D2""","""PRKD2""","""protein kinase D2""",,,"""PKD2"", ""HSPC187"", ""DKFZP586E0820""","""Serine/threonine-protein kinase D2""","""nPKC-D2""","""PRKD2""","""PKD2""","""protein kinase D2""","""HSPC187"", ""PKD2"", ""nPKC-D2"""
"""PSKH1""","""PSKH1""","""PSKH1""","""PSKH1""","""protein serine kinase H1""","""PSKH1""","""protein serine kinase H1""",,,,"""Serine/threonine-protein kinase H1""","""Protein serine kinase H1""","""PSKH1""",,"""protein serine kinase H1""","""PFIC13"""
"""PSKH2""","""PSKH2""","""PSKH2""","""PSKH2""","""protein serine kinase H2""","""PSKH2""","""protein serine kinase H2""",,,,"""Serine/threonine-protein kinase H2""","""Protein serine kinase H2""","""PSKH2""",,"""protein serine kinase H2""",
"""CHK2""","""CHK2""","""CHEK2""","""CHEK2""","""CHK2 checkpoint homolog (S. pombe)""","""CHEK2""","""checkpoint kinase 2""","""CHK2 (checkpoint, S.pombe) homolog"", ""CHK2 checkpoint homolog (S. pombe)""",,"""CDS1"", ""CHK2"", ""HuCds1"", ""PP1425"", ""bA444G7""","""Serine/threonine-protein kinase Chk2""","""CHK2 checkpoint homolog"", ""Cds1 homolog"", ""Checkpoint kinase 2""","""CHEK2""","""CDS1"", ""CHK2"", ""RAD53""","""checkpoint kinase 2""","""CDS1"", ""CHK2"", ""HuCds1"", ""LFS2"", ""PP1425"", ""RAD53"", ""TPDS4"", ""hCds1"""
"""SgK495""","""SgK495""","""STK40""","""STK40""","""serine/threonine kinase 40""","""STK40""","""serine/threonine kinase 40""",,"""SINK-homologous serine/threonine kinase""","""MGC4796"", ""SgK495"", ""SHIK""","""Serine/threonine-protein kinase 40""","""SINK-homologous serine/threonine-protein kinase"", ""Sugen kinase 495""","""STK40""","""SGK495"", ""SHIK""","""serine/threonine kinase 40""","""SHIK"", ""SgK495"""
"""Trb1""","""Trb1""","""TRIB1""","""TRIB1""","""tribbles homolog 1 (Drosophila)""","""TRIB1""","""tribbles pseudokinase 1""","""tribbles homolog 1 (Drosophila)""",,"""C8FW"", ""GIG2"", ""TRB1""","""Tribbles homolog 1""","""G-protein-coupled receptor-induced gene 2 protein"", ""SKIP1""","""TRIB1""","""C8FW"", ""GIG2"", ""TRB1""","""tribbles pseudokinase 1""","""C8FW"", ""GIG-2"", ""GIG2"", ""SKIP1"", ""TRB-1"", ""TRB1"""
"""Trb2""","""Trb2""","""TRIB2""","""TRIB2""","""tribbles homolog 2 (Drosophila)""","""TRIB2""","""tribbles pseudokinase 2""","""tribbles homolog 2 (Drosophila)""",,"""TRB2"", ""GS3955""","""Tribbles homolog 2""",,"""TRIB2""","""TRB2""","""tribbles pseudokinase 2""","""C5FW"", ""GS3955"", ""TRB2"""
"""Trb3""","""Trb3""","""TRIB3""","""TRIB3""","""tribbles homolog 3 (Drosophila)""","""TRIB3""","""tribbles pseudokinase 3""","""chromosome 20 open reading frame 97"", ""tribbles homolog 3 (Drosophila)""","""p65-interacting inhibitor of NF-κB""","""dJ1103G7.3"", ""TRB3"", ""SINK""","""Tribbles homolog 3""","""Neuronal cell death-inducible putative kinase"", ""SINK"", ""p65-interacting inhibitor of NF-kappa-B""","""TRIB3""","""C20orf97"", ""NIPK"", ""SKIP3"", ""TRB3""","""tribbles pseudokinase 3""","""C20orf97"", ""NIPK"", ""SINK"", ""SKIP3"", ""TRB3"""
"""Obscn""","""Obscn""","""OBSCN""","""OBSCN""","""obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF""","""OBSCN""","""obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF""",,,"""KIAA1556"", ""UNC89"", ""KIAA1639"", ""ARHGEF30""","""Obscurin""","""Obscurin-RhoGEF"", ""Obscurin-myosin light chain kinase""","""OBSCN""","""KIAA1556"", ""KIAA1639""","""obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF""","""ARHGEF30"", ""RHABDO1"", ""UNC89"""
"""SPEG""","""SPEG""","""LOC729871""","""-""","""-""","""LOC729871""",,,,,,,,,,
"""Trio""","""Trio""","""TRIO""","""TRIO""","""triple functional domain (PTPRF interacting)""","""TRIO""","""trio Rho guanine nucleotide exchange factor""","""triple functional domain (PTPRF interacting)""",,"""ARHGEF23""","""Triple functional domain protein""","""PTPRF-interacting protein""","""TRIO""",,"""trio Rho guanine nucleotide exchange factor""","""ARHGEF23"", ""MEBAS"", ""MRD44"", ""MRD63"", ""tgat"""
"""Trad""","""Trad""","""KALRN""","""KALRN""","""kalirin, RhoGEF kinase""","""KALRN""","""kalirin RhoGEF kinase""","""huntingtin-associated protein interacting protein (duo)""","""serine/threonine kinase with Dbl and pleckstrin homology domains""","""duo"", ""Hs.8004"", ""TRAD"", ""DUET"", ""Kalirin"", ""ARHGEF24"", ""KALNC2""","""Kalirin""","""Huntingtin-associated protein-interacting protein"", ""Protein Duo"", ""Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain""","""KALRN""","""DUET"", ""DUO"", ""HAPIP"", ""TRAD""","""kalirin RhoGEF kinase""","""ARHGEF24"", ""CHD5"", ""CHDS5"", ""DUET"", ""DUO"", ""HAPIP"", ""KALNC2"", ""TRAD"""
"""TSSK2""","""TSSK2""","""TSSK2""","""TSSK2""","""testis-specific serine kinase 2""","""TSSK2""","""testis specific serine kinase 2""","""serine/threonine kinase 22B (spermiogenesis associated)""",,"""SPOGA2"", ""FLJ38613""","""Testis-specific serine/threonine-protein kinase 2""","""DiGeorge syndrome protein G"", ""Serine/threonine-protein kinase 22B""","""TSSK2""","""DGSG"", ""SPOGA2"", ""STK22B""","""testis specific serine kinase 2""","""DGS-G"", ""SPOGA2"", ""STK22B"", ""TSK2"""
"""TSSK3""","""TSSK3""","""TSSK3""","""TSSK3""","""testis-specific serine kinase 3""","""TSSK3""","""testis specific serine kinase 3""","""serine/threonine kinase 22C (spermiogenesis associated)""",,"""SPOGA3""","""Testis-specific serine/threonine-protein kinase 3""","""Serine/threonine-protein kinase 22C""","""TSSK3""","""SPOGA3"", ""STK22C""","""testis specific serine kinase 3""","""SPOGA3"", ""STK22C"", ""STK22D"", ""TSK3"""
"""TSSK1""","""TSSK1""","""TSSK1B""","""TSSK1B""","""testis-specific serine kinase 1B""","""TSSK1B""","""testis specific serine kinase 1B""","""serine/threonine kinase 22D (spermiogenesis associated)"", ""testis-specific serine kinase 1""",,"""SPOGA4"", ""FKSG81""","""Testis-specific serine/threonine-protein kinase 1""","""Serine/threonine-protein kinase 22A""","""TSSK1B""","""SPOGA1"", ""SPOGA4"", ""STK22A"", ""STK22D"", ""TSSK1""","""testis specific serine kinase 1B""","""FKSG81"", ""SPOGA4"", ""STK22D"", ""TSK1"", ""TSSK1"""
"""SSTK""","""SSTK""","""TSSK6""","""TSSK6""","""testis-specific serine kinase 6""","""TSSK6""","""testis specific serine kinase 6""",,"""cancer/testis antigen 72""","""SSTK"", ""FLJ24002"", ""CT72""","""Testis-specific serine/threonine-protein kinase 6""","""Cancer/testis antigen 72"", ""Serine/threonine-protein kinase SSTK"", ""Small serine/threonine kinase""","""TSSK6""","""SSTK""","""testis specific serine kinase 6""","""CT72"", ""FKSG82"", ""SSTK"", ""TSSK4"""
"""TSSK4""","""TSSK4""","""TSSK4""","""TSSK4""","""testis-specific serine kinase 4""","""TSSK4""","""testis specific serine kinase 4""","""serine/threonine kinase 22E""","""chromosome 14 open reading frame 20""",,"""Testis-specific serine/threonine-protein kinase 4""","""Serine/threonine-protein kinase 22E""","""TSSK4""","""C14orf20"", ""STK22E"", ""TSSK5""","""testis specific serine kinase 4""","""C14orf20"", ""STK22E"", ""TSK-4"", ""TSK4"", ""TSSK5"""
"""CK1a""","""CK1a""","""CSNK1A1""","""CSNK1A1""","""casein kinase 1, alpha 1""","""CSNK1A1""","""casein kinase 1 alpha 1""","""casein kinase 1, alpha 1""","""clock regulator kinase""","""CK1"", ""CK1a"", ""CK1alpha"", ""CKIa"", ""CKIalpha""","""Casein kinase I isoform alpha""","""CK1""","""CSNK1A1""",,"""casein kinase 1 alpha 1""","""CK1"", ""CK1a"", ""CKIa"", ""HEL-S-77p"", ""HLCDGP1"", ""PRO2975"""
"""CK1a2""","""CK1a2""","""CSNK1A1L""","""CSNK1A1L""","""casein kinase 1, alpha 1-like""","""CSNK1A1L""","""casein kinase 1 alpha 1 like""","""casein kinase 1, alpha 1-like""",,"""MGC33182""","""Casein kinase I isoform alpha-like""","""CK1""","""CSNK1A1L""",,"""casein kinase 1 alpha 1 like""","""CK1"""
